name,year,rating,votes,reviews,Title Type
Mixed by Erry,2023,7.1,6475,https://www.imdb.com/title/tt16425284/,Movie
Mixtape,2022,7,137,https://www.imdb.com/title/tt9818384/,Movie
Moana,2016,7.6,425460,https://www.imdb.com/title/tt3521164/,Movie
Moana 2,2024,6.5,116606,https://www.imdb.com/title/tt13622970/,Movie
Monsters University,2013,7.2,414653,https://www.imdb.com/title/tt1453405/,Movie
"Monsters, Inc.",2001,8.1,1044792,https://www.imdb.com/title/tt0198781/,Movie
Mortal Kombat,1995,5.8,129531,https://www.imdb.com/title/tt0113855/,Movie
Mortal Kombat: Rebirth,2010,7.8,5981,https://www.imdb.com/title/tt1672087/,Video
Mortal Kombat: Annihilation,1997,3.6,60583,https://www.imdb.com/title/tt0119707/,Movie
Mortal Kombat: The Journey Begins,1995,3.5,1001,https://www.imdb.com/title/tt0363828/,Video
Mothering Sunday,2021,6.1,5751,https://www.imdb.com/title/tt12229370/,Movie
Mr. & Mrs. Smith,2005,6.5,576761,https://www.imdb.com/title/tt0356910/,Movie
Murdaritaville,2024,3.4,118,https://www.imdb.com/title/tt29730867/,Movie
My Family and Other Animals,2005,7.3,2035,https://www.imdb.com/title/tt0482552/,TV Movie
Night of the Hunted,2023,5.3,5272,https://www.imdb.com/title/tt23642744/,Movie
Night Shift,2023,5.4,3856,https://www.imdb.com/title/tt13380324/,Movie
No Hard Feelings,2023,6.3,205644,https://www.imdb.com/title/tt15671028/,Movie
Nomadland,2020,7.3,195687,https://www.imdb.com/title/tt9770150/,Movie
On Fire,2023,5.2,1822,https://www.imdb.com/title/tt15783520/,Movie
Valentine's Again,2017,5.9,1039,https://www.imdb.com/title/tt6964966/,TV Movie
Onward,2020,7.4,181847,https://www.imdb.com/title/tt7146812/,Movie
Operation Fortune: Ruse de Guerre,2023,6.3,104919,https://www.imdb.com/title/tt7985704/,Movie
Operation Napoleon,2023,6,3851,https://www.imdb.com/title/tt15485390/,Movie
Oppenheimer,2023,8.3,939179,https://www.imdb.com/title/tt15398776/,Movie
Ordinary Angels,2024,7.4,17223,https://www.imdb.com/title/tt4996328/,Movie
Picture Day,2012,6.2,1377,https://www.imdb.com/title/tt2083294/,Movie
Pretty Baby,1978,6.5,13874,https://www.imdb.com/title/tt0078111/,Movie
Problemista,2023,6.8,8927,https://www.imdb.com/title/tt15078804/,Movie
Project Blue Book Exposed,2020,4.5,90,https://www.imdb.com/title/tt12192432/,Video
Provo,2022,6.5,117,https://www.imdb.com/title/tt15836488/,Movie
Pure O,2023,5.7,166,https://www.imdb.com/title/tt22334262/,Movie
Queen Bees,2021,6.4,4612,https://www.imdb.com/title/tt8338076/,Movie
Rabbit Hole,2010,6.9,52389,https://www.imdb.com/title/tt0935075/,Movie
Ratatouille,2007,8.1,906636,https://www.imdb.com/title/tt0382932/,Movie
Raya and the Last Dragon,2021,7.3,183538,https://www.imdb.com/title/tt5109280/,Movie
Recess Christmas: Miracle on Third Street,2001,6.3,677,https://www.imdb.com/title/tt0289415/,Video
Recess: All Growed Down,2003,6.2,1051,https://www.imdb.com/title/tt0382936/,Video
Recess: School's Out,2001,6.5,12304,https://www.imdb.com/title/tt0265632/,Movie
Recess: Taking the Fifth Grade,2003,6.7,2523,https://www.imdb.com/title/tt0382937/,Video
Red Right Hand,2024,5.5,6327,https://www.imdb.com/title/tt19244260/,Movie
Regular Show: The Movie,2015,7.4,6972,https://www.imdb.com/title/tt4920274/,Movie
Renfield,2023,6.4,115881,https://www.imdb.com/title/tt11358390/,Movie
Road House,2024,6.2,174739,https://www.imdb.com/title/tt3359350/,Movie
Rogue Agent,2022,6.5,15604,https://www.imdb.com/title/tt9731386/,Movie
